                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0013,                 1.4296,                   1.09,                0.97747,                 0.9109,                0.95413,                0.67957,                0.74163,                0.44909,                0.90636,              0.0033157,              0.0033157,              0.0033157
                      2,                0.92767,                 0.6484,                 1.0382,                0.98601,                0.93103,                0.95795,                0.65317,                0.81929,                0.47409,                0.91957,              0.0066359,              0.0066359,              0.0066359
                      3,                0.99982,                 0.7022,                 1.0675,                0.97525,                0.88475,                0.93843,                0.61031,                0.85447,                0.61896,                0.94476,              0.0099428,              0.0099428,              0.0099428
                      4,                 1.0333,                0.73994,                 1.0829,                0.99096,                0.91803,                 0.9617,                0.62574,                0.85679,                0.54271,                0.95376,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.0303,                0.70991,                 1.0873,                0.92499,                0.91659,                0.92768,                0.62009,                0.86482,                0.58704,                 1.0216,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.0007,                0.67078,                 1.0918,                0.95104,                0.95852,                0.97879,                 0.6076,                0.82937,                0.60434,                0.95453,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.0235,                0.63963,                 1.1028,                0.88155,                0.92415,                0.92486,                0.60105,                0.85313,                0.59409,                0.98206,               0.009901,               0.009901,               0.009901
                      8,                0.98607,                0.61432,                  1.085,                0.90812,                0.96097,                0.95628,                0.61208,                0.81503,                0.56693,                0.96525,              0.0098812,              0.0098812,              0.0098812
                      9,                0.96016,                0.60899,                 1.0833,                0.93996,                 0.9068,                0.94597,                0.61472,                0.81137,                0.51823,                0.96922,              0.0098614,              0.0098614,              0.0098614
                     10,                0.95192,                0.59617,                 1.0907,                 0.9514,                0.92754,                0.94367,                0.64319,                0.77037,                0.54871,                0.95788,              0.0098416,              0.0098416,              0.0098416
                     11,                0.94083,                0.57448,                 1.0621,                0.95607,                0.92988,                 0.9456,                0.61045,                0.79505,                0.53138,                0.98878,              0.0098218,              0.0098218,              0.0098218
